"Asset ID","Filename","Route(s)","Role","Provenance","Rights basis","Privacy status","Type","Final public status","Public path","Derivative source","Alt-text status","Notes","Source hash","Derivative filename","Derivative hash","Transformation"
"AST-021","vision_hero.png","/vision/","hero","New Earth programme asset recorded in ASSET_REGISTER.csv","Repository-controlled owner-approved conceptual asset","No meaningful privacy risk","CONCEPTUAL","PUBLIC READY","/assets/vision_hero.png","","Descriptive alt present","Conceptual Vision context","","","",""
"AST-019","manifesto_hero.png","/manifesto/","hero","New Earth programme asset recorded in ASSET_REGISTER.csv","Repository-controlled owner-approved conceptual asset","No meaningful privacy risk","CONCEPTUAL","PUBLIC READY","/assets/manifesto_hero.png","","Descriptive alt present","Conceptual Manifesto context","","","",""
"AST-018","blueprint_hero.png","/blueprint/","hero","New Earth programme asset recorded in ASSET_REGISTER.csv","Repository-controlled owner-approved conceptual asset","No meaningful privacy risk","CONCEPTUAL","PUBLIC READY","/assets/blueprint_hero.png","","Descriptive alt present","Conceptual Blueprint context","","","",""
"NEIP-VIS-001","NEIP-VIS-001_local-capability-pathway.png","/new-earth-in-practice/","diagram","Generated New Earth programme visual with governed asset record","Repository-controlled generated visual; approved contextual use","No meaningful privacy risk","DIAGRAM","PUBLIC READY","/assets/NEIP-VIS-001_local-capability-pathway.png","","Descriptive alt present","Illustrative pathway not implementation evidence","","","",""
"NEIP-VIS-002","NEIP-VIS-002_daily-life-cards.png","/new-earth-in-practice/","diagram","Generated New Earth programme visual with governed asset record","Repository-controlled generated visual; approved contextual use","No meaningful privacy risk","DIAGRAM","PUBLIC READY","/assets/NEIP-VIS-002_daily-life-cards.png","","Descriptive alt present","Possible expressions not current deployment","","","",""
"NEIP-VIS-003","NEIP-VIS-003_twelve-pillars-lenses.png","/new-earth-in-practice/","diagram","Generated New Earth programme visual with governed asset record","Repository-controlled generated visual; approved contextual use","No meaningful privacy risk","DIAGRAM","PUBLIC READY","/assets/NEIP-VIS-003_twelve-pillars-lenses.png","","Descriptive alt present","Practical lenses not fully implemented framework","","","",""
"NEIP-VIS-004","NEIP-VIS-004_principles-to-practice-bridge.png","/new-earth-in-practice/","diagram","Generated New Earth programme visual with governed asset record","Repository-controlled generated visual; approved contextual use","No meaningful privacy risk","DIAGRAM","PUBLIC READY","/assets/NEIP-VIS-004_principles-to-practice-bridge.png","","Descriptive alt present","Developing bridge not completed integration evidence","","","",""
"NEIP-VIS-005","NEIP-VIS-005_systems-relationship-map.png","/new-earth-in-practice/","diagram","Generated New Earth programme visual with governed asset record","Repository-controlled generated visual; approved contextual use","No meaningful privacy risk","DIAGRAM","PUBLIC READY","/assets/NEIP-VIS-005_systems-relationship-map.png","","Descriptive alt present","Distinct systems and incomplete connections remain explicit","","","",""
"NEIP-VIS-006","NEIP-VIS-006_authority-ladder.png","/new-earth-in-practice/","diagram","Generated New Earth programme visual with governed asset record","Repository-controlled generated visual; approved contextual use","No meaningful privacy risk","DIAGRAM","PUBLIC READY","/assets/NEIP-VIS-006_authority-ladder.png","","Descriptive alt present","Intended authority model not current universal implementation","","","",""
"NEIP-VIS-007","NEIP-VIS-007_one-person-experience.png","/new-earth-in-practice/","diagram","Generated New Earth programme visual with governed asset record","Repository-controlled generated visual; approved contextual use","No meaningful privacy risk","DIAGRAM","PUBLIC READY","/assets/NEIP-VIS-007_one-person-experience.png","","Descriptive alt present","Illustrative journey not product workflow","","","",""
"AST-007","microgrow_ai_lab_project_card.webp","/ (local preview)","project visual","New Earth programme asset recorded in ASSET_REGISTER.csv","Owner-approved conceptual asset but MicroGrow publication gate is deferred","No meaningful privacy risk","CONCEPTUAL","LOCAL PREVIEW ONLY","","","Descriptive alt present","Kept out of public build pending MicroGrow publication closure","","","",""
"MG-VIS-001","OWNER-HELD EXTERNAL SOURCE","/; /projects/; /projects/microgrow/","project evidence","Owner-supplied hardware source retained outside this repository","Peter owner declaration; first-party New Earth/MicroGrow capture; public derivative authorised","Source is owner-held; public derivative reviewed","EVIDENCE","PUBLIC READY","/assets/microgrow_hardware_public.webp","MG-VIS-001","Descriptive alt present","OWNER ACCEPTED - PUBLIC DERIVATIVE. Public-safe hardware derivative; source is not in the public repository.","027573C10740E9B7CFF10ABB0E670119052980C6A7197FC995E92E52E0CEBCAF","microgrow_hardware_public.webp","17564F5E804E764E13BF768FDBF780BCB623D109AC0807A97DC2BF87BF3A81EE","WebP resize to 1600px wide; no content edits"
"MG-VIS-002","OWNER-HELD EXTERNAL SOURCE","/projects/microgrow/","project evidence","Owner-supplied dashboard source retained outside this repository","Peter owner declaration; first-party New Earth/MicroGrow capture; public derivative authorised","Source is owner-held; public derivative masks device and network context","EVIDENCE","PUBLIC READY","/assets/microgrow_dashboard_public.webp","MG-VIS-002","Descriptive alt present","OWNER ACCEPTED - PUBLIC DERIVATIVE. Privacy-bounded dashboard derivative; source is not in the public repository.","990E744CA9A0FE19DA4E689F9AAB33DA7720BA8817260AC439C971B3DC8C7BAA","microgrow_dashboard_public.webp","DA433ED162C7F80720D1C2185C988A898C48D6AFE39849A537B0355912DD3AB7","Crop desktop/sidebar chrome; mask network and device context; WebP encode"
"MG-VIS-003","OWNER-HELD EXTERNAL SOURCE","/projects/microgrow/","project evidence","Owner-supplied diagnostics source retained outside this repository","Peter owner declaration; first-party New Earth/MicroGrow capture; sanitized public derivative authorised","Source is owner-held; operational summary, identifiers and counts are masked","EVIDENCE","PUBLIC READY","/assets/microgrow_diagnostics_public.webp","MG-VIS-003","Descriptive alt present","OWNER APPROVED REMEDIATION - SANITIZED PUBLIC DERIVATIVE. Source is not in the public repository.","65465CA48D044DEE2CE2EDC7A025CB7123348F5B3B0029A2E4BCD6B566BA6082","microgrow_diagnostics_public.webp","56C288FFAC05AA25CA6A7897FCE68BC2E6BAD4B37B5EA17F6464311ED2698CBA","Neutral masks remove firmware, network, uptime, identifiers and operational counts without introducing replacement values"
"MG-VIS-004","OWNER-HELD EXTERNAL SOURCE","","project evidence","Owner-supplied splash source retained outside this repository","Peter owner declaration; first-party New Earth/MicroGrow capture","Owner-held source; no public derivative","EVIDENCE","HOLD","","MG-VIS-004","Descriptive alt present","Owner rights and provenance confirmed; explicitly omitted from public release and public repository.","125E1DEE08A0EF75A82E8E1E18E41B5B4FCDD5EE15933C984567D6300FB103EC","","","No public derivative: development/readiness wording would alter evidence meaning"
"CC-VIS-001A","CC-VIS-001A_command-centre-hero-display.png","/projects/command-centre/","project evidence hero","Owner-supplied display derivative from CC-VIS-001","Peter owner declaration; first-party New Earth/Command Centre capture; public-safe use authorised","No meaningful privacy risk; descriptive programme identifiers retained as truthful evidence","EVIDENCE","PUBLIC READY","/assets/CC-VIS-001A_command-centre-hero-display.png","CC-VIS-001_command-centre-overview.png","Descriptive alt present","OWNER ACCEPTED - LOCKED. Existing display derivative used unchanged; original source excluded.","D3E7C146D3482D71EA0ECAEA11D67EDA2D033EDF123DA002F1DC11A55E2EFF9E","CC-VIS-001A_command-centre-hero-display.png","D3E7C146D3482D71EA0ECAEA11D67EDA2D033EDF123DA002F1DC11A55E2EFF9E","No publication-stage transformation; technical meaning changed: NO"
"CC-VIS-001B","CC-VIS-001B_command-centre-index-display.png","/projects/","project index evidence","Owner-supplied display derivative from CC-VIS-001","Peter owner declaration; first-party New Earth/Command Centre capture; public-safe use authorised","No meaningful privacy risk; identical content/hash to CC-VIS-001A","EVIDENCE","PUBLIC READY","/assets/CC-VIS-001B_command-centre-index-display.png","CC-VIS-001_command-centre-overview.png","Descriptive alt present","OWNER ACCEPTED - LOCKED. Existing display derivative used unchanged; original source excluded.","D3E7C146D3482D71EA0ECAEA11D67EDA2D033EDF123DA002F1DC11A55E2EFF9E","CC-VIS-001B_command-centre-index-display.png","D3E7C146D3482D71EA0ECAEA11D67EDA2D033EDF123DA002F1DC11A55E2EFF9E","No publication-stage transformation; technical meaning changed: NO"
"CC-VIS-002","CC-VIS-002_command-palette.png","/projects/command-centre/","project evidence","Owner-supplied current Command Centre capture","Peter owner declaration; first-party New Earth/Command Centre capture; public-safe use authorised","No personal data, paths, credentials, secrets, device identifiers or private network data","EVIDENCE","PUBLIC READY","/assets/CC-VIS-002_command-palette.png","","Descriptive alt present","Command/navigation evidence; development scores retained; no autonomy claim.","C5E28ECC2A25DE0BE2AE79F66207C17E284F26B1E73C8A740F259964DFF184C6","CC-VIS-002_command-palette.png","C5E28ECC2A25DE0BE2AE79F66207C17E284F26B1E73C8A740F259964DFF184C6","No transformation; technical meaning changed: NO"
"CC-VIS-003","CC-VIS-003_continue-work-authority.png","/projects/command-centre/","authority-boundary evidence","Owner-supplied current Command Centre capture","Peter owner declaration; first-party New Earth/Command Centre capture; public-safe use authorised","No personal data, paths, credentials, secrets, device identifiers or private network data","EVIDENCE","PUBLIC READY","/assets/CC-VIS-003_continue-work-authority.png","","Descriptive alt present","READY / NOT_DISPATCHED and explicit non-execution authority boundary retained.","3DA0614D1EBBA140F474C3B332E9BA4783B0A0F4326BB208ECDFB616E9C8EB87","CC-VIS-003_continue-work-authority.png","3DA0614D1EBBA140F474C3B332E9BA4783B0A0F4326BB208ECDFB616E9C8EB87","No transformation; technical meaning changed: NO"
"CC-VIS-004","CC-VIS-004_neos-connected-context.png","/projects/command-centre/ (local preview)","related-system context","Owner-supplied current NEOS capture","Peter owner declaration confirms capture; incidental software rights remain with owners","Contains loopback endpoint and is NEOS rather than Command Centre UI","EVIDENCE","HOLD","","","Descriptive alt present","Public omission avoids product confusion and unnecessary local-service context; original preserved.","0197F2B602F88CEE2BE663ECC4454D5BC39844A81C0F2B6525DE65EC07C9F992","","","No public derivative required for sufficient evidence baseline"
"CC-VIS-005","CC-VIS-005_how-command-centre-works.png","/projects/command-centre/","developmental operating model","Owner-created New Earth developmental diagram","Peter owner declaration; first-party New Earth/Command Centre creation; public-safe use authorised","No meaningful privacy risk","DIAGRAM","PUBLIC READY","/assets/CC-VIS-005_how-command-centre-works.png","","Descriptive alt and explicit developmental caption present","Title says How Command Centre Is Being Developed to Work; incomplete implementation and human approval remain explicit.","274750CA69DAEA53092186EDECAFABE6CD93137D34024DFA43C6A728C4EF8C6C","CC-VIS-005_how-command-centre-works.png","274750CA69DAEA53092186EDECAFABE6CD93137D34024DFA43C6A728C4EF8C6C","No transformation; technical meaning changed: NO"
"AST-009","new_earth_living_app.webp","/ (local preview)","project visual","New Earth programme asset recorded in ASSET_REGISTER.csv","Owner-approved conceptual asset; lane explicitly deferred","No meaningful privacy risk","CONCEPTUAL","PUBLIC READY","/assets/new_earth_living_app.webp","","Descriptive alt present","Homepage visual promoted by owner direction; conceptual app context only; no project publication implied.","","","",""
"NE-COMMUNITY-IMG-001","new_earth_builders_logo.webp","/assets/new_earth_builders_logo.webp","brand element","Owner-supplied external-platform branding","PUBLIC USE APPROVED - THIRD-PARTY BRAND PERMISSION CONFIRMED","Owner declaration that New Earth Builders authorised use on new-earth.uk","LOGO / BRAND","PUBLIC","800x800","8e03c9f84187e01008854297327c4117980c7b76a113ed4c0d284cb02b85bec6","Descriptive alt present","Included in public build for existing New Earth Builders card only; text link remains visible","New Earth Builders","NO","Third-party brand asset used with permission; no New Earth ownership or unrestricted licence claimed"
"TEAM-VIS-001","peter_hayley_team_public.webp","/team/","shared Team portrait","AI-assisted editorial portrait derived from an owner-supplied personal photograph","Peter owner approval for Website V2 Team use","Approved personal portrait; editorial use only","EDITORIAL","PUBLIC READY","/assets/peter_hayley_team.webp","peter_hayley_team_ai_assisted.png","Descriptive alt present","Editorial/profile visual; not documentary evidence of place, event, date or working environment","C8B0D8A6ED84D3307F96539B14F302BD62849A9EC993C9E79D27104F4DFCF815","peter_hayley_team_public.webp","3556052A39A873DB94CC324507DE5753C2150AE9CA7D9D8FCC7D2803E51662D9","1122x1402 PNG resized to 960x1200 with Lanczos and encoded WebP quality 82; technical meaning changed: NO"
