asset_id,asset_path,filename,asset_type,file_format,dimensions,file_size,sha256,intended_route,intended_usage,source_category,source_or_creator,generation_or_capture_status,rights_status,rights_evidence,attribution_requirement,third_party_marks_present,people_or_likeness_review,accessibility_class,alt_text_status,caption_status,extended_text_status,seo_preferred_image_status,responsive_variant_required,public_build_status,review_status,notes,owner_usage_approved
AST-011,ASSETS/09_BLOG/featured/journal_featured_home.webp,journal_featured_home.webp,image,webp,1600x900,263580,87c985ec6827d5faf7c32bff6c8ef33a3e79b2950c7e0413bb3d549b73a3e4f5,/journal/,Journal feature,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,Article-specific caption may be needed,YES
AST-012,ASSETS/10_RESOURCES/featured/resources_featured_home.webp,resources_featured_home.webp,image,webp,1600x900,274030,8bec827d3bc3db2b57085ae9e0c75c62ff9aac76ca7891883d118a4073bbca3b,/resources/,Resources feature,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,No current rights record,YES
AST-013,ASSETS/10_RESOURCES/featured/faq_glossary_featured.webp,faq_glossary_featured.webp,image,webp,1600x900,204662,8680afeb285b9c27e02010ddf380c73cd798de9a0f0412b77261259b168adf18,/resources/faq-glossary/,FAQ feature,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,No fake FAQ content,YES
AST-014,ASSETS/07_ABOUT/hero/about_hero.webp,about_hero.webp,image,webp,1920x1080,415100,334ff1003ee6bb8b8ee0a9913d23f66aa0e757d4a43d67d255c6cc2d5c27df7f,/about/,About hero,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,People review required if recognisable,YES
AST-015,ASSETS/08_CONTACT/banners/contact_banner.webp,contact_banner.webp,image,webp,1600x900,452360,5b752a58662b582bf9a6063b2d5f9876dcc74b7b7f08537a028dd709476fcf32,/contact/,Contact banner,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,DECORATIVE,EMPTY ALT,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,Use empty alt if decorative,YES
AST-016,ASSETS/11_COMMUNITY/hero/community_hero.webp,community_hero.webp,image,webp,1920x1080,677654,25a403610937644d757e2ca5f0f9056dfe0642f39f2fee2fbee6d14d9c4a2ea5,/get-involved/,Participation context,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,Do not imply membership or programme outcome,YES
AST-017,ASSETS/11_COMMUNITY/partners/new_earth_builders_logo.webp,new_earth_builders_logo.webp,logo/webp,webp,800x800,39808,8e03c9f84187e01008854297327c4117980c7b76a113ed4c0d284cb02b85bec6,/get-involved/,New Earth Builders card,External community platform,New Earth Builders,Owner-supplied screenshot-derived logo,THIRD-PARTY BRAND PERMISSION CONFIRMED,Owner declaration that New Earth Builders authorised use on new-earth.uk,None recorded,THIRD-PARTY MARK,REVIEW COMPLETE,LOGO / BRAND,Descriptive alt present,Optional,Not required,Pending,no,PUBLIC USE APPROVED - THIRD-PARTY BRAND PERMISSION CONFIRMED,APPROVED FOR EXISTING CONTEXT,Third-party brand asset used with permission; no New Earth ownership or unrestricted licence claimed,YES
AST-018,ASSETS/_INBOX/home_section_blueprint.png,home_section_blueprint.png,image,png,1536x1024,2999438,21dd2b98d2b042beeaecbc79aa73f6d3cdee83c1b52d11b97e0112915f1a0a16,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
AST-019,ASSETS/_INBOX/home_section_manifesto.png,home_section_manifesto.png,image,png,1536x1024,2626541,37ecda8e621ddf2a0168b6d7d381d073911b01107ea3a6fa1f03d0453588b1a7,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
AST-020,ASSETS/_INBOX/home_section_microgrow.png,home_section_microgrow.png,image,png,1536x1024,2587689,1e761f81e19ea6a172e9bb62177b5994b84f1ddec47aa577859c096f1b6fb36d,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
AST-021,ASSETS/_INBOX/home_section_vision.png,home_section_vision.png,image,png,1536x1024,3634099,95866e814bbcc3f712081df5364ac0d851bb11049926c85f99ae3c190db619a4,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
AST-022,ASSETS/_INBOX/microgrow_app_mockup.png,microgrow_app_mockup.png,image,png,1024x1536,2099242,57ca166a27889d51e2ebd75362b5096a6d622492fa70f28891b86c90a506f81a,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
AST-023,ASSETS/_INBOX/microgrow_lifestyle_home.png,microgrow_lifestyle_home.png,image,png,1536x1024,2533211,8efd65a6660f843972847be7fb720be15af76b7fd5497e986d5008dfaf1bd0e7,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
AST-024,ASSETS/_INBOX/microgrow_product_closeup.png,microgrow_product_closeup.png,image,png,1536x1024,2750096,c011a50cf0b6594b88e8e6021fa154b3fa4af2be43b6819ae2d74dba8ec4797d,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
AST-025,ASSETS/_INBOX/systems_education.png,systems_education.png,image,png,1536x1024,3047243,7478575eee752f3c8952a9d95f9fa3c9f2f615d51d7f3bd833b9c559ca1d6150,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
AST-026,ASSETS/_INBOX/systems_energy.png,systems_energy.png,image,png,1536x1024,3242977,c1c012d002fa336c320313ffb03e4a48780e0ab1d9527985ad16bcc214c2da57,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
AST-027,ASSETS/_INBOX/systems_food.png,systems_food.png,image,png,1536x1024,3086559,fcb4c3b5e39237b9baa59b838311ab6d8a6310842f31ad918a2ab347bd672d55,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
AST-028,ASSETS/_INBOX/systems_governance_community.png,systems_governance_community.png,image,png,1536x1024,3659058,33ca17963b9fca89d99e88333c3a10d0db05ae0f8086055403097b8d1db9abeb,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
AST-029,ASSETS/_INBOX/systems_health.png,systems_health.png,image,png,1536x1024,3413944,41659ea84779a92657b4721eefda0ce96b62daf9a152490066320ec7c7a645e5,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
AST-030,ASSETS/_INBOX/systems_housing.png,systems_housing.png,image,png,1536x1024,3612579,0e127c240f387f7cdd5a1adc2a9ca78dbd57ae5e76d7ad2254fb815b8e0da34f,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
AST-031,ASSETS/_INBOX/systems_water.png,systems_water.png,image,png,1536x1024,3660640,ccc294725467a4cf9540303ac386bc22eccfabb1f77ac51c83c7cea5ed4ac295,UNASSIGNED,Owner-selected candidate,CURATED_WEBSITE_ASSET,Not recorded,Not recorded,RIGHTS EVIDENCE MISSING,No rights evidence in repository,UNKNOWN,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,ALT TEXT REQUIRED AT FINAL USAGE MAPPING,Pending,Pending,Pending,yes,HOLD - RIGHTS REVIEW,OWNER VISUALLY SELECTED - SPECIALIST REVIEW PENDING,Owner KEEP; stable ID assigned; not public approval,YES
