seo_id,route,page_name,content_type,indexability,title_status,proposed_title,meta_description_status,proposed_meta_description,canonical_status,canonical_path,primary_entity,primary_topic,preferred_image_status,structured_data_type,og_type,internal_link_priority,maturity_claim_check,runtime_verification_required,notes
SEO-011,/blueprint/pillars/energy-and-technology/,Energy and Technology,Pillar,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/pillars/energy-and-technology/,New Earth,Energy and Technology,WA-05H PENDING,WebPage,website,MEDIUM,Technical claims gate,yes,Production required
SEO-012,/blueprint/pillars/justice-and-conflict-transformation/,Justice and Conflict Transformation,Pillar,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/pillars/justice-and-conflict-transformation/,New Earth,Justice and Conflict Transformation,WA-05H PENDING,WebPage,website,MEDIUM,Future content,yes,Production required
SEO-013,/blueprint/pillars/media-and-information/,Media and Information,Pillar,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/pillars/media-and-information/,New Earth,Media and Information,WA-05H PENDING,WebPage,website,MEDIUM,Future content,yes,Production required
SEO-014,/blueprint/pillars/environment-and-relationship-with-nature/,Environment and Relationship with Nature,Pillar,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/pillars/environment-and-relationship-with-nature/,New Earth,Environment,WA-05H PENDING,WebPage,website,MEDIUM,Claims gate,yes,Production required
SEO-015,/blueprint/pillars/culture-spirituality-human-development/,Culture Spirituality and Human Development,Pillar,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/pillars/culture-spirituality-human-development/,New Earth,Culture and spirituality,WA-05H PENDING,WebPage,website,MEDIUM,Future content,yes,Production required
SEO-016,/blueprint/pillars/family-childhood-eldership/,Family Childhood and Eldership,Pillar,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/pillars/family-childhood-eldership/,New Earth,Family and eldership,WA-05H PENDING,WebPage,website,MEDIUM,Children claims gate,yes,Production required
SEO-017,/blueprint/inner-blueprint/,Inner Blueprint,Supporting page,INDEX,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/inner-blueprint/,New Earth Blueprint,Inner framework,WA-05H PENDING,WebPage,website,MEDIUM,Future content,yes,Review content before final metadata
SEO-018,/blueprint/transition-path/,Transition Path,Supporting page,INDEX,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/transition-path/,New Earth Blueprint,Transition,WA-05H PENDING,WebPage,website,MEDIUM,Future content,yes,Review content before final metadata
SEO-019,/manifesto/,Manifesto,Core page,INDEX,PROPOSED,The New Earth Manifesto | Principles for a More Conscious Civilisation,PROPOSED,Read the New Earth Manifesto and explore the principles guiding a developing vision for conscious civilisation.,TOKEN REQUIRED,/manifesto/,New Earth Manifesto,Principles,WA-05H PENDING,WebPage,website,HIGH,Approved draft,yes,Canonical route preserved
SEO-020,/ecosystem/,Ecosystem,Core page,INDEX,PROPOSED,The New Earth Ecosystem | How the Parts Connect,PROPOSED,"See how New Earth connects vision, Blueprint, pillars, projects, research and participation.",TOKEN REQUIRED,/ecosystem/,New Earth ecosystem,Relationships,WA-05H PENDING,WebPage,website,HIGH,Technical qualification applies,yes,Core metadata from draft
SEO-021,/technology/,Advanced Technologies,System page,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/technology/,New Earth,Technology explanation,WA-05H PENDING,WebPage,website,MEDIUM,Technical gate,yes,Do not imply availability
SEO-022,/ecosystem/command-centre/,Command Centre,System page,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/ecosystem/command-centre/,New Earth,Public explanation,WA-05H PENDING,WebPage,website,MEDIUM,Protected system boundary,yes,No dashboard exposure
SEO-023,/projects/,Projects,Directory,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/projects/,New Earth,Projects,WA-05H PENDING,CollectionPage,website,HIGH,Status labels required,yes,Content required
SEO-024,/microgrow/,MicroGrow,Project page,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/microgrow/,MicroGrow,Project development,WA-05H PENDING,WebPage,website,MEDIUM,Technical maturity gate,yes,No sales claim
SEO-025,/journal/,Journal,Publication hub,INDEX,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/journal/,New Earth,Editorial learning,WA-05H PENDING,CollectionPage,website,HIGH,Publication evidence required,yes,No fabricated history
SEO-026,/about/,About,Core page,INDEX,PROPOSED,"About New Earth | Purpose, Principles and Stewardship",PROPOSED,"Learn why New Earth exists, what it is exploring and how its developing work is being stewarded.",TOKEN REQUIRED,/about/,New Earth,Purpose,WA-05H PENDING,AboutPage,website,HIGH,Company inputs remain,yes,Core metadata from draft
SEO-027,/founders-journey/,Founders Journey,Future page,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/founders-journey/,New Earth,Founder story,WA-05H PENDING,WebPage,website,MEDIUM,Founder attribution gate,yes,Do not invent history
SEO-028,/team/,Team,Future page,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/team/,New Earth,People and roles,WA-05H PENDING,WebPage,website,MEDIUM,People data gate,yes,Content required
SEO-029,/get-involved/,Get Involved,Core page,INDEX,PROPOSED,"Get Involved with New Earth | Learn, Contribute and Collaborate",PROPOSED,"Find a clear way to engage with New Earth through learning, contribution, collaboration or practical support.",TOKEN REQUIRED,/get-involved/,New Earth,Participation,WA-05H PENDING,WebPage,website,HIGH,External links labelled,yes,No native form activation
SEO-030,/collaborate/,Collaborate,Future page,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/collaborate/,New Earth,Collaboration,WA-05H PENDING,WebPage,website,MEDIUM,Form/community gate,yes,Content required
SEO-031,/contact/,Contact,Future page,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/contact/,New Earth,Contact,WA-05H PENDING,ContactPage,website,MEDIUM,Contact route pending,yes,Do not invent address
SEO-032,/resources/,Resources,Directory,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/resources/,New Earth,Learning resources,WA-05H PENDING,CollectionPage,website,MEDIUM,Content required,yes,Future content
SEO-033,/resources/faq-glossary/,FAQ and Glossary,Supporting page,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/resources/faq-glossary/,New Earth,Terminology,WA-05H PENDING,WebPage,website,LOW,No fake FAQ content,yes,Only publish useful material
SEO-034,/research-development/,Research and Development,Future page,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/research-development/,New Earth,Research,WA-05H PENDING,WebPage,website,MEDIUM,Evidence gate,yes,Content required
SEO-035,/legal/,Legal,Legal hub,INDEX,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/legal/,Website operator,Legal information,WA-05H PENDING,WebPage,website,MEDIUM,Legal input,yes,Final legal wording required
SEO-036,/legal/privacy-policy/,Privacy Policy,Legal page,INDEX,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/legal/privacy-policy/,Website controller,Privacy notice,WA-05H PENDING,WebPage,website,HIGH,WA-05E inputs required,yes,No fabricated notice
SEO-037,/legal/terms/,Terms of Use,Legal page,INDEX,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/legal/terms/,Website operator,Terms,WA-05H PENDING,WebPage,website,MEDIUM,Legal review,yes,Final wording required
SEO-038,/legal/cookie-policy/,Cookie Policy,Legal page,INDEX,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/legal/cookie-policy/,Website operator,Cookies,WA-05H PENDING,WebPage,website,MEDIUM,Runtime evidence required,yes,No invented cookies
SEO-039,/legal/disclaimer/,Disclaimer,Legal page,INDEX,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/legal/disclaimer/,Website operator,Disclaimer,WA-05H PENDING,WebPage,website,MEDIUM,Legal review,yes,Final wording required
