"Record ID","Page/capability","Canonical URL","Parent","Content type","Delivery horizon","Current state","WA-01 decision","Navigation placement","Template family","Access level","Truth/status-label requirement","Owner","Notes"
"V20-034","Collaborate and Partnerships","/collaborate/","Get Involved","Page","V2.0 FOUNDATION","NEW","CREATE","Get Involved child","Collaboration","Public","PLANNED","New Earth","Legal and privacy review before pathways."
"V20-035","Contact","/contact/","Get Involved","Page","V2.0 FOUNDATION","LIVE","REWRITE","Get Involved child","Contact","Public","LIVE","New Earth","Contact and collaboration pathways."
"V20-036","Resources","/resources/","None","Hub","V2.0 FOUNDATION","NEW","CREATE","Secondary navigation","Resource hub","Public","PLANNED","New Earth","Separate from Journal."
"V20-037","FAQ and Glossary","/resources/faq-glossary/","Resources","Collection","V2.0 FOUNDATION","NEW","CREATE","Secondary navigation","FAQ","Public","PLANNED","New Earth","Canonical terms and cross-links."
"V20-038","Research and Development","/research/","None","Collection","V2.0 FOUNDATION","NEW","CREATE","Secondary navigation","Research index","Public","RESEARCH","New Earth","Evidence and publication requirements."
"V20-039","Legal","/legal/","None","Hub","V2.0 FOUNDATION","LIVE","KEEP","Footer","Legal hub","Public","LIVE","New Earth","Secondary/footer location."
"V20-040","Privacy Policy","/legal/privacy-policy/","Legal","Legal page","V2.0 FOUNDATION","LIVE","KEEP","Footer","Legal","Public","LIVE","New Earth","Professional review before changes."
"V20-041","Terms of Use","/legal/terms/","Legal","Legal page","V2.0 FOUNDATION","LIVE","KEEP","Footer","Legal","Public","LIVE","New Earth","Professional review before changes."
"V20-042","Cookie Policy","/legal/cookie-policy/","Legal","Legal page","V2.0 FOUNDATION","LIVE","KEEP","Footer","Legal","Public","LIVE","New Earth","Canonical route."
"V20-043","Disclaimer","/legal/disclaimer/","Legal","Legal page","V2.0 FOUNDATION","LIVE","KEEP","Footer","Legal","Public","LIVE","New Earth","Professional review before changes."
"VX-001","MicroGrow AI Lab","/projects/microgrow-ai-lab/","Projects","Project","V2.x ENABLED LATER","RESERVED","INVESTIGATE","Projects context","Project","Public","RESEARCH","MicroGrow owner","Not live; evidence gate."
"VX-002","Field Scanner","/projects/field-scanner/","Projects","Project","V2.x ENABLED LATER","RESERVED","INVESTIGATE","Projects context","Project","Public","PROTOTYPE","Project owner","Not live; readiness gate."
"VX-003","BioCalm","/projects/biocalm/","Projects","Project","V2.x ENABLED LATER","RESERVED","INVESTIGATE","Projects context","Project","Public","RESEARCH","Project owner","Not live; evidence gate."
"VX-004","New Earth Living","/projects/new-earth-living/","Projects","Project","V2.x ENABLED LATER","RESERVED","INVESTIGATE","Projects context","Project","Public","IN DEVELOPMENT","Project owner","Not live; offer and owner gate."
"VX-005","Future Projects","/projects/future/","Projects","Collection","DEFERRED RESEARCH","RESERVED","INVESTIGATE","None","Project directory","Public","FUTURE","New Earth","No placeholder directory."
"VX-006","Peter Practical Guides","/guides/peter/","None","Creator lane","V2.x ENABLED LATER","RESERVED","INVESTIGATE","Contextual only","Creator lane","Public","PLANNED","Peter","Requires Peter approval."
"VX-007","Hayley Conscious Living","/conscious-living/hayley/","None","Creator lane","V2.x ENABLED LATER","RESERVED","INVESTIGATE","Contextual only","Creator lane","Public","PLANNED","Hayley","Requires Hayley approval."
"VX-008","Image Archive","/image-archive/","Resources","Collection","V2.x ENABLED LATER","RESERVED","INVESTIGATE","None","Media archive","Public","PLANNED","New Earth","Rights gate."
"VX-009","Community and Start a Circle","/community/","Get Involved","Page","V2.x ENABLED LATER","RESERVED","INVESTIGATE","Contextual only","Community","Public","PLANNED","Community owner","Safeguarding gate."
"VX-010","Progress and Transparency","/progress/","None","Page","V2.x ENABLED LATER","RESERVED","INVESTIGATE","Contextual only","Progress","Public","PLANNED","Peter","Dated evidence gate."
"VX-011","Newsletter","/newsletter/","Get Involved","Capability","V2.x ENABLED LATER","RESERVED","INVESTIGATE","None","Subscription","Public","FUTURE","New Earth","Consent/provider gate."
"VX-012","Events and Circles","/events/","Get Involved","Collection","V2.x ENABLED LATER","RESERVED","INVESTIGATE","None","Events","Public","FUTURE","Community owner","Event model gate."
"VX-013","Partner Submissions","/submissions/","Get Involved","Capability","V2.x ENABLED LATER","RESERVED","INVESTIGATE","None","Submission","Public","FUTURE","New Earth","Moderation/privacy gate."
"VX-014","Audio and Video","/media/","Resources","Capability","V2.x ENABLED LATER","RESERVED","INVESTIGATE","None","Media index","Public","FUTURE","New Earth","Hosting and accessibility gate."
"VX-015","Multi-author Publishing","/authors/","Journal","Capability","V2.x ENABLED LATER","RESERVED","INVESTIGATE","None","Author index","Public","FUTURE","Editorial owner","Role and byline gate."
"VX-016","Research Papers","/research/papers/","Research and Development","Content type","DEFERRED RESEARCH","RESERVED","INVESTIGATE","Research context","Research paper","Public","RESEARCH","Research owner","Citation and version gate."
"VX-017","Donations and Project Support","/support/","Get Involved","Capability","DEFERRED RESEARCH","RESERVED","INVESTIGATE","None","Support","Public","RESEARCH","New Earth","Legal and payment gate."
"VX-018","Future Member Portal","External or internal secure destination","None","Capability","EXTERNAL/INTERNAL SYSTEM","RESERVED","INVESTIGATE","None","Protected system","Private","FUTURE","New Earth","No public application route or endpoint."
"VX-019","Public Project Status Feeds","External or internal evidence source","Projects","Capability","V2.x ENABLED LATER","RESERVED","INVESTIGATE","None","Status feed","Public","FUTURE","Project owners","Source and freshness gate."
