"Component ID","Component name","Purpose","Required variants","Required states","Used by template families","Responsive behaviour","Accessibility requirements","WordPress mapping","V2.0 or V2.x","Status","Notes"
"C-024","Search result","Return discoverable content","Page, Journal, project","Default, focus, no result","Search","Stack metadata","Result type, title, context","Query loop","V2.0","PROPOSED","Exclude private content"
"C-025","Pagination","Move through collections","Numbers, next/previous","Default, current, focus","Journal, search, directories","Wrap","Current page and labels","Query loop","V2.0","PROPOSED",""
"C-026","Accessible skip link","Bypass repeated navigation","Header skip","Focus visible","All templates","Always available","First focusable control","Template part","V2.0","PROPOSED",""
"C-027","Protected-system notice","Explain boundary without access","Command Centre, Dashboard","Default, focus","Public system page","Stack","Plain language and no misleading link","Synced pattern","V2.0","PROPOSED","No operational UI"
"C-028","Table","Present structured evidence","Standard, responsive","Default, focus","Legal, research, progress","Readable narrow treatment","Headers and scope","Core block/pattern","V2.0","PROPOSED",""
"C-029","Related content rail","Connect page relationships","Pillar, project, Journal","Default, focus","All content families","Stack on mobile","Heading and meaningful links","Query loop","V2.0","PROPOSED",""
"C-030","Notice","Highlight review or limitation","Info, warning","Default, dismissible only if nonessential","Legal, research, system","Full width","Role and readable text","Group/pattern","V2.0","PROPOSED","No colour-only warning"
"C-031","External application card","Explain and link to a public external service","Profile, project, service","Default, focus, unavailable","About, Projects, Get Involved, Journal","Stack safely on mobile","Clear external label, accessible name, fallback link","Reusable card pattern with normal link","V2.0","PROPOSED","No automatic feed or credential handling"
"C-032","Social profile link","Provide a direct public profile destination","Inline, icon-plus-label","Default, focus, unavailable","Footer, About, creator lanes","Wrap without icon-only dependence","Platform name remains visible","Normal accessible link","V2.0","PROPOSED","Use privacy-friendly destination"
"C-033","Privacy-friendly share bar","Offer explicit user-triggered sharing","Inline, compact","Default, focus","Journal, resources","Wrap controls on narrow screens","Text labels, keyboard access, no auto tracking","Link pattern using share URLs","V2.0","PROPOSED","No third-party share script"
"C-034","Click-to-load embed placeholder","Invite consented loading of valuable third-party content","Video, presentation, application","Idle, consented, unavailable","Journal, Projects, resources","Responsive aspect ratio","Disclosure, consent, fallback link, keyboard access","Placeholder block with user-triggered load","V2.0","PROPOSED","No content loads before consent"
"C-035","External-link indicator","Make an off-site destination explicit","Text, icon-plus-text","Default, focus","All templates","Remain adjacent to link label","Accessible text, not icon-only","Link utility class or block variation","V2.0","PROPOSED","Indicator never replaces the label"
"C-036","Integration unavailable/fallback state","Explain service failure and preserve access","Inline, card","Unavailable, retry, fallback","All external integrations","Reflow without clipped error text","Plain-language message and accessible fallback","Notice pattern with normal link","V2.0","PROPOSED","Canonical New Earth content remains available"
"C-037","Consent-controlled video container","Load an approved video only after user action","Poster, consent prompt, fallback","Idle, consented, unavailable","Journal, Projects, About","Responsive media frame","Consent explanation, captions, transcript or fallback","Video placeholder pattern","V2.0","PROPOSED","No automatic third-party player"
