TERM-014,Platform Core,"core platform",A named technical capability requiring evidence from its owning source,Use only for verified high-level public explanation,Do not expose private architecture endpoints or availability claims,UNKNOWN / REQUIRES VERIFICATION,Technical owner,DEPENDENCY,External repository evidence required,technology,"A contextual technology reference within the ecosystem; it is not a public product or active website integration."
TERM-015,NEOS,"NEOS system",A named technical capability requiring evidence from its owning source,Use only for verified bounded high-level public explanation,Do not infer behaviour from the name or expose internal architecture,UNKNOWN / REQUIRES VERIFICATION,Technical owner,DEPENDENCY,External repository evidence required,technology,"A contextual engineering-intelligence reference; distinct from Command Centre and not a public product."
TERM-016,GAIA,"GAIA runtime; AI",A named AI capability requiring evidence and safety review,Use only for verified bounded high-level public explanation,Do not claim availability control of safety-critical systems or expose internals,UNKNOWN / REQUIRES VERIFICATION,Technical owner,DEPENDENCY,External repository evidence required,technology,"A contextual intelligence reference; it is not a public AI interaction or customer product."
TERM-017,Command Centre,"public Command Centre page",Public information about the Command Centre concept and purpose,Use for public explanation only where its publication status permits,Do not expose application controls private operations or claim broader integration,IN DEVELOPMENT,New Earth,APPROVED,Application remains separate,project,"A distinct project/system context; it is not the owner of NEOS or GAIA and is not a public product."
TERM-018,Dashboard,"Command Dashboard; workday application",A protected authenticated operational application,Do not present as a public website destination,Do not expose controls credentials or infrastructure,UNKNOWN / REQUIRES VERIFICATION,Technical owner,RESTRICTED,Separate protected system
TERM-019,Local AI Runtime,"local runtime; AI runtime",A named technical capability requiring evidence from its owning source,Use only after technical verification,Do not claim availability or safety behaviour,UNKNOWN / REQUIRES VERIFICATION,Technical owner,DEPENDENCY,External repository evidence required
TERM-020,New Earth Builders,"external community platform",An external community name outside the New Earth website's public ecosystem,Do not use in V2.1 public navigation ecosystem or partner language,Do not imply ownership partnership formal affiliation or integration,PARTNER-PROVIDED,New Earth,RESTRICTED,V2.1 independence boundary: not a public ecosystem partner,external reference,"Not part of the New Earth public identity model or V2.1 visitor journey."
TERM-021,New Earth Practical Guides,"Peter guides; practical guides",A planned Peter-led product family for approved practical guides and resources,Use only with approved Peter attribution and product content,Do not imply a currently published or purchasable product,COMING LATER,Peter,PLANNED,Creator approval required,product family,"A future part of New Earth Digital Products; distinct from Projects and the wider New Earth vision."
TERM-022,New Earth Conscious Living,"Hayley lane; Conscious Living",A planned Hayley-led product family for approved conscious-living guides and resources,Use only with approved Hayley attribution and product content,Do not imply a currently published or purchasable product,COMING LATER,Hayley,PLANNED,Creator approval required,product family,"A future part of New Earth Digital Products; distinct from Projects and the wider New Earth vision."
TERM-023,Peter's creator lane,"Peter lane; founder voice",A distinct creator voice and body of approved work,Use in first person only for approved material,Do not turn personal views into institutional facts,PARTNER-PROVIDED,Peter,REQUIRES REVIEW,Separate from institutional voice
TERM-024,Hayley's creator lane,"Hayley lane; founder voice",A distinct creator voice and body of approved work,Use in first person only for approved material,Do not turn personal views into institutional facts,PARTNER-PROVIDED,Hayley,REQUIRES REVIEW,Separate from institutional voice
TERM-025,Research and Development,"R&D; research",Publicly explainable investigation and development work,Use with scope and evidence status,Do not expose private research or promise results,RESEARCH,New Earth,APPROVED,Plain-language explanation required
TERM-026,community,"community space; members",People connected by shared learning or participation,Use inclusively and specifically,Do not imply membership numbers or formal organisation,PRINCIPLE,New Earth,APPROVED,No unsupported social proof
TERM-027,collaboration,"partnership; joint venture",Working together toward a defined activity,Use for an invitation or evidenced activity,Do not use as a legal partnership synonym,PRINCIPLE,New Earth,APPROVED,Legal wording escalates
TERM-028,partner,"affiliate; collaborator",An external party with a defined and evidenced relationship,Use only with permission and relationship wording,Do not imply endorsement ownership or contract,PARTNER-PROVIDED,New Earth,REQUIRES REVIEW,Relationship must be recorded
TERM-029,integration,"connection; embed",A technical or operational connection between systems,Use only when technically verified,Do not call a normal link an integration,UNKNOWN / REQUIRES VERIFICATION,Technical owner,REQUIRES REVIEW,Privacy and security review required
TERM-030,external application,"external platform; service",A service outside the New Earth website,Use with clear labelling and fallback link,Do not imply shared accounts or data exchange,ESTABLISHED FACT,New Earth,APPROVED,Consent and privacy review required,technology,"Separate from New Earth public routes and subject to provider/privacy review."
TERM-031,New Earth Digital Products,"digital products; guides; resources",The future customer-facing area for approved New Earth guides resources and bundles,Use only as the umbrella for approved product families and products,Do not use before a product and commerce activation gate are approved,COMING LATER,New Earth,PLANNED,No catalogue or route is activated in Phase A,programme,"Contains New Earth Practical Guides and New Earth Conscious Living; it is not the same as Projects."
TERM-032,What We're Building,"building overview; work overview",The visitor-friendly overview of current emerging and future work,Use to explain public work by controlled public status,Do not use as a replacement for project evidence or as a claim of availability,IN DEVELOPMENT,New Earth,APPROVED,Route and page content are deferred beyond Phase A,content area,"Sits between the wider New Earth vision and the deeper Projects evidence layer."
TERM-033,Products,"digital products; customer products",Approved customer-facing guides resources or bundles offered through New Earth Digital Products,Use only for a specifically approved offer with an accurate public status,Do not use for concepts projects research or unavailable work,COMING LATER,New Earth,PLANNED,Product records and sale flows are deferred,product family,"A commercial-facing subset of New Earth work; separate from Projects."
TERM-034,Research,"research and development; R&D",Evidence-led investigation and exploratory work that is not presented as an available offer,Use with scope limitations and the RESEARCH public status,Do not use to imply completed results commercial availability or an unverified technical capability,RESEARCH,New Earth,APPROVED,Use plain language,content area,"May inform Projects and future Products but is not itself a product."
TERM-035,New Earth in Practice,"practice; local-first practice",The public route explaining how the New Earth framework could meet everyday local stewardship and capability,Use for illustrative and clearly bounded practical context,Do not describe illustrative pathways as deployed products or formal programmes,PRINCIPLE,New Earth,APPROVED,Existing route remains available,content area,"Connects the New Earth vision and Blueprint to practical context; it is not a product or membership offer."
TERM-036,Vision,"New Earth vision; wider vision",The public explanation of the direction questions and principles of New Earth,Use for the top-level public destination and the wider direction,Do not present it as a finished system political movement or membership organisation,VISION,New Earth,APPROVED,Blueprint and Manifesto sit beneath this conceptually,vision,"Explains the wider New Earth identity and leads to Blueprint and Manifesto."
TERM-037,Manifesto,"New Earth Manifesto",The deeper public declaration of the principles informing New Earth,Use for the named philosophical page under Vision,Do not use as a product promise technical specification or company policy,PRINCIPLE,New Earth,APPROVED,Existing route remains available,content area,"A deeper expression of Vision, alongside the Blueprint."
