"discovery_id","asset_id","filename","repo_relative_path","extension","file_size_bytes","width","height","aspect_ratio","sha256","top_level_area","source_classification","git_status","git_tracked","git_ignored","duplicate_group_id","wa05h_match_status","review_classification","public_build_eligibility","rights_status","provenance_status","accessibility_status","notes"
"IMGDISC-0031","","systems_water.png","ASSETS/_INBOX/systems_water.png",".png","3660640","1536","1024","1.5000","ccc294725467a4cf9540303ac386bc22eccfabb1f77ac51c83c7cea5ed4ac295","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
"IMGDISC-0032","","about_hero.png","ASSETS_REFERENCE/global_images/about_hero.png",".png","2699245","1536","1024","1.5000","1f36e2be08b2681bdb25bcc2802388864680399852dc74e504896188a2404f53","ASSETS_REFERENCE","LOCAL_REFERENCE","IGNORED","False","True","","UNMATCHED","REFERENCE_ONLY","REFERENCE_ONLY","NOT RECORDED","UNKNOWN","UNKNOWN","Local-only reference; not public candidate"
"IMGDISC-0033","","blueprint_hero.png","ASSETS_REFERENCE/global_images/blueprint_hero.png",".png","2999498","1536","1024","1.5000","c53cb8b9aa42202720bf2891a9365ecdcb3a80f5302b50c0f6b7276ec3705eda","ASSETS_REFERENCE","LOCAL_REFERENCE","IGNORED","False","True","","UNMATCHED","REFERENCE_ONLY","REFERENCE_ONLY","NOT RECORDED","UNKNOWN","UNKNOWN","Local-only reference; not public candidate"
"IMGDISC-0034","","community_hero.png","ASSETS_REFERENCE/global_images/community_hero.png",".png","3314502","1536","1024","1.5000","dbd73dddf89107a70062edb5b0326fac7e02990cb6878f4ba4e82c9a45f9856b","ASSETS_REFERENCE","LOCAL_REFERENCE","IGNORED","False","True","","UNMATCHED","REFERENCE_ONLY","REFERENCE_ONLY","NOT RECORDED","UNKNOWN","UNKNOWN","Local-only reference; not public candidate"
"IMGDISC-0035","","contact_banner.png","ASSETS_REFERENCE/global_images/contact_banner.png",".png","3056246","1536","1024","1.5000","19e3df020ead01a19894033ccdb5bbe6f0ba509fa714da381d53b1c034f706dc","ASSETS_REFERENCE","LOCAL_REFERENCE","IGNORED","False","True","","UNMATCHED","REFERENCE_ONLY","REFERENCE_ONLY","NOT RECORDED","UNKNOWN","UNKNOWN","Local-only reference; not public candidate"
"IMGDISC-0036","","global_page_hero_template.png","ASSETS_REFERENCE/global_images/global_page_hero_template.png",".png","2678546","1536","1024","1.5000","6fa4990f9c819670585d30e25587ab442917cd0fd1393784d73cf88476ba85b4","ASSETS_REFERENCE","LOCAL_REFERENCE","IGNORED","False","True","","UNMATCHED","REFERENCE_ONLY","REFERENCE_ONLY","NOT RECORDED","UNKNOWN","UNKNOWN","Local-only reference; not public candidate"
"IMGDISC-0037","","home_hero_new_earth_main.png","ASSETS_REFERENCE/global_images/home_hero_new_earth_main.png",".png","3250872","1536","1024","1.5000","d7c6cbc69c0da61487e5bbcfb6cc5e9ad8c3aaace8107bab2e1bfc227355f8b4","ASSETS_REFERENCE","LOCAL_REFERENCE","IGNORED","False","True","","UNMATCHED","REFERENCE_ONLY","REFERENCE_ONLY","NOT RECORDED","UNKNOWN","UNKNOWN","Local-only reference; not public candidate"
"IMGDISC-0038","","manifesto_hero.png","ASSETS_REFERENCE/global_images/manifesto_hero.png",".png","2454537","1536","1024","1.5000","0e2f72c64a1abb22732b12c8faa91a1615f913f2af7ab8a37351367a065f7f1e","ASSETS_REFERENCE","LOCAL_REFERENCE","IGNORED","False","True","","UNMATCHED","REFERENCE_ONLY","REFERENCE_ONLY","NOT RECORDED","UNKNOWN","UNKNOWN","Local-only reference; not public candidate"
"IMGDISC-0039","","microgrow_hero.png","ASSETS_REFERENCE/global_images/microgrow_hero.png",".png","3391867","1536","1024","1.5000","0a829f1dd74d6c5d722aa5874707b95898e565d99fb2a87e19fef0751713046e","ASSETS_REFERENCE","LOCAL_REFERENCE","IGNORED","False","True","","UNMATCHED","REFERENCE_ONLY","REFERENCE_ONLY","NOT RECORDED","UNKNOWN","UNKNOWN","Local-only reference; not public candidate"
"IMGDISC-0040","","systems_governance_community.png","ASSETS_REFERENCE/global_images/systems_governance_community.png",".png","3659058","1536","1024","1.5000","33ca17963b9fca89d99e88333c3a10d0db05ae0f8086055403097b8d1db9abeb","ASSETS_REFERENCE","LOCAL_REFERENCE","IGNORED","False","True","DUP-001","UNMATCHED","REFERENCE_ONLY","REFERENCE_ONLY","NOT RECORDED","UNKNOWN","UNKNOWN","Local-only reference; not public candidate"
"IMGDISC-0041","","systems_health.png","ASSETS_REFERENCE/global_images/systems_health.png",".png","3413944","1536","1024","1.5000","41659ea84779a92657b4721eefda0ce96b62daf9a152490066320ec7c7a645e5","ASSETS_REFERENCE","LOCAL_REFERENCE","IGNORED","False","True","DUP-002","UNMATCHED","REFERENCE_ONLY","REFERENCE_ONLY","NOT RECORDED","UNKNOWN","UNKNOWN","Local-only reference; not public candidate"
"IMGDISC-0042","","systems_hero.png","ASSETS_REFERENCE/global_images/systems_hero.png",".png","3035575","1536","1024","1.5000","fcdc92dbd48c831ffaaf130771c0666c21d2f1ab60a1de707dab165a72e08ed1","ASSETS_REFERENCE","LOCAL_REFERENCE","IGNORED","False","True","","UNMATCHED","REFERENCE_ONLY","REFERENCE_ONLY","NOT RECORDED","UNKNOWN","UNKNOWN","Local-only reference; not public candidate"
